,BDFDB,BDPRP,BFFDB,BFPRP,CLPRB,CLPRK,CLPRP,COPRK,EMFDB,ENPRP,GETCB,HYTCB,NCPRB,NGMPB,NGMPK,NGMPP,NUETB,PAPRB,PAPRP,REPRB,SOTCB,TEPRB,TETCB,WDEXB,WDPRB,WDTCB,WSTCB,WWPRB,WYTCB,CO2,State_Alabama,State_Alaska,State_Arizona,State_Arkansas,State_California,State_Colorado,State_Connecticut,State_Delaware,State_Florida,State_Georgia,State_Hawaii,State_Idaho,State_Illinois,State_Indiana,State_Iowa,State_Kansas,State_Kentucky,State_Louisiana,State_Maine,State_Maryland,State_Massachusetts,State_Michigan,State_Minnesota,State_Mississippi,State_Missouri,State_Montana,State_Nebraska,State_Nevada,State_New Hampshire,State_New Jersey,State_New Mexico,State_New York,State_North Carolina,State_North Dakota,State_Ohio,State_Oklahoma,State_Oregon,State_Pennsylvania,State_Rhode Island,State_South Carolina,State_South Dakota,State_Tennessee,State_Texas,State_Utah,State_Vermont,State_Virginia,State_Washington,State_West Virginia,State_Wisconsin,State_Wyoming,Assistance
0,3464.0,638.0,282138.0,49516.0,0.0,0.0,0.0,5.722,278674.0,48878.0,1212.0,7906.0,44275.0,557.0,1.059,526.0,97798.0,12560.0,2195.0,330919.0,90.0,441834.0,870370.0,0.0,2843.0,2843.0,1663.0,4506.0,35067.0,48.35090988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4011050.0
1,6295.0,1159.0,290063.0,50924.0,0.0,0.0,0.0,5.723,283769.0,49765.0,1212.0,13719.0,61990.0,483.0,1.061,455.0,72300.0,11978.0,2093.0,355970.0,220.0,440731.0,873303.0,0.0,2330.0,2330.0,1587.0,3917.0,46840.0,47.87762064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3743400.0
2,5916.0,1089.0,289782.0,50812.0,0.0,0.0,0.0,5.706,283866.0,49723.0,1212.0,12582.0,64686.0,459.0,1.06,433.0,58884.0,11732.0,2056.0,359674.0,373.0,430748.0,909065.0,0.0,3394.0,3394.0,1811.0,5205.0,50519.0,52.35500953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4330170.0
3,3159.0,581.0,288633.0,50698.0,0.0,0.0,0.0,5.698,285474.0,50117.0,1212.0,11935.0,77807.0,411.0,1.07,384.0,72589.0,10883.0,1910.0,371935.0,446.0,455818.0,907219.0,0.0,3699.0,3699.0,1796.0,5495.0,64215.0,50.47008377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2293019.0
4,126.0,23.0,266404.0,46669.0,0.0,0.0,0.0,5.717,266278.0,46646.0,1212.0,15702.0,46594.0,504.0,1.057,477.0,107976.0,15419.0,2697.0,317158.0,41.0,441057.0,857967.0,0.0,2958.0,2958.0,1203.0,4161.0,29639.0,50.71057586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3396859.0
5,9572.0,1762.0,168756.0,29682.0,0.0,0.0,0.0,0.0,159184.0,27920.0,1075.0,11157.0,104583.0,0.0,0.0,0.0,144970.0,0.0,0.0,351303.0,645.0,496273.0,1838918.0,0.0,63244.0,63244.0,14720.0,77964.0,91706.0,91.10054342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16796366.0
6,8987.0,1654.0,171550.0,30163.0,0.0,0.0,0.0,0.0,162563.0,28509.0,1075.0,11587.0,121517.0,0.0,0.0,0.0,145426.0,0.0,0.0,363504.0,6247.0,508930.0,1862210.0,0.0,56284.0,56284.0,14153.0,70437.0,102608.0,91.27720044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2726558.0
7,9775.0,1799.0,176402.0,30986.0,0.0,0.0,0.0,0.0,166627.0,29187.0,1075.0,9591.0,118640.0,0.0,0.0,0.0,152657.0,0.0,0.0,366439.0,10437.0,519096.0,1940174.0,0.0,58812.0,58812.0,12585.0,71397.0,97537.0,94.75605009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55322766.0
8,9191.0,1692.0,180685.0,31799.0,0.0,0.0,0.0,0.0,171494.0,30107.0,1075.0,9404.0,120386.0,0.0,0.0,0.0,147280.0,0.0,0.0,366164.0,12265.0,513444.0,1900531.0,0.0,56250.0,56250.0,8843.0,65093.0,97642.0,92.08969013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29572563.0
9,7761.0,1429.0,165989.0,29147.0,0.0,0.0,0.0,0.0,158228.0,27718.0,1075.0,7912.0,100589.0,0.0,0.0,0.0,125900.0,0.0,0.0,345949.0,473.0,471848.0,1813635.0,0.0,65241.0,65241.0,14129.0,79370.0,91129.0,89.33099915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3292766.0
10,27.0,5.0,27.0,5.0,13942.0,14.957,932.0,5.722,0.0,0.0,186.0,15317.0,17081.0,369865.0,1.112,332749.0,0.0,1026401.0,179378.0,25155.0,14.0,1435363.0,593662.0,0.0,7636.0,7636.0,412.0,8048.0,1563.0,33.40561066,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247734.0
11,29.0,5.0,29.0,5.0,14365.0,14.978,959.0,5.723,0.0,0.0,186.0,15143.0,16655.0,382940.0,1.112,344385.0,0.0,1033270.0,180547.0,23620.0,20.0,1454196.0,601492.0,0.0,6501.0,6501.0,436.0,6937.0,1305.0,33.72913017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13509662.0
12,15.0,3.0,15.0,3.0,13752.0,15.253,902.0,5.706,0.0,0.0,186.0,15151.0,16777.0,375279.0,1.1,341315.0,0.0,997415.0,174801.0,24158.0,28.0,1410604.0,604644.0,0.0,6910.0,6910.0,456.0,7366.0,1411.0,34.51458857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18236626.0
13,0.0,0.0,0.0,0.0,14867.0,15.252,975.0,5.698,0.0,0.0,186.0,14456.0,15951.0,364363.0,1.106,329361.0,0.0,968358.0,169947.0,22754.0,40.0,1370342.0,605689.0,0.0,6418.0,6418.0,386.0,6803.0,1270.0,34.25944031,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13734021.0
14,21.0,4.0,21.0,4.0,17747.0,15.073,1177.0,5.717,0.0,0.0,186.0,14621.0,16298.0,380887.0,1.108,343625.0,0.0,1007501.0,176229.0,23807.0,3.0,1429942.0,614242.0,0.0,6865.0,6865.0,622.0,7488.0,1488.0,35.0278036,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3345612.0
15,399.0,73.0,399.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,10574.0,15141.0,0.0,0.0,0.0,112551.0,0.0,0.0,56290.0,547.0,168841.0,307290.0,0.0,36335.0,36335.0,4415.0,40750.0,3991.0,13.81151032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3111505.0
16,245.0,45.0,245.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,13022.0,17718.0,0.0,0.0,0.0,104493.0,0.0,0.0,59871.0,875.0,164364.0,317785.0,0.0,37268.0,37268.0,4640.0,41908.0,3792.0,13.51181074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307930.0
17,276.0,51.0,276.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,12336.0,17123.0,0.0,0.0,0.0,105195.0,0.0,0.0,56145.0,1056.0,161340.0,325655.0,0.0,34988.0,34988.0,3758.0,38747.0,3702.0,14.23973227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636384.0
18,312.0,57.0,312.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,13019.0,18137.0,0.0,0.0,0.0,113890.0,0.0,0.0,56018.0,1229.0,169909.0,319667.0,0.0,33945.0,33945.0,3624.0,37569.0,3859.0,13.9338009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739179.0
19,262.0,48.0,262.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,11837.0,16105.0,0.0,0.0,0.0,99186.0,0.0,0.0,61342.0,292.0,160528.0,316649.0,0.0,40598.0,40598.0,4377.0,44976.0,3947.0,15.27856723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371086.0
20,0.0,0.0,0.0,0.0,310453.0,22.223,13970.0,5.722,0.0,0.0,5287.0,7012.0,31057.0,401909.0,1.1,365269.0,0.0,174681.0,30528.0,36562.0,11167.0,923606.0,807711.0,0.0,3981.0,3981.0,1523.0,5504.0,7591.0,58.82516698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,612804.0
21,0.0,0.0,0.0,0.0,317768.0,22.182,14326.0,5.723,0.0,0.0,5239.0,11919.0,48162.0,346868.0,1.1,315211.0,0.0,197089.0,34438.0,53282.0,23097.0,915007.0,827453.0,0.0,3910.0,3910.0,1211.0,5120.0,7907.0,59.03113555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15437033.0
22,0.0,0.0,0.0,0.0,305328.0,22.42,13619.0,5.706,0.0,0.0,4866.0,8440.0,44435.0,326320.0,1.103,295826.0,0.0,211790.0,37117.0,50358.0,23895.0,893795.0,844319.0,0.0,4963.0,4963.0,959.0,5922.0,7234.0,61.24871623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,668749.0
23,0.0,0.0,0.0,0.0,326024.0,22.632,14405.0,5.698,0.0,0.0,3572.0,7793.0,42278.0,299544.0,1.102,271808.0,0.0,210450.0,36934.0,48225.0,23623.0,884243.0,855124.0,0.0,5028.0,5028.0,919.0,5947.0,7290.0,61.50322731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,448561.0
24,9.0,2.0,9.0,2.0,325216.0,22.555,14419.0,5.717,0.0,0.0,4811.0,7164.0,18788.0,461219.0,1.106,417020.0,0.0,212307.0,37136.0,23993.0,980.0,1022734.0,798313.0,0.0,3765.0,3765.0,1430.0,5195.0,5833.0,63.61302159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1243588.0
25,9254.0,1703.0,65607.0,11587.0,399856.0,14.219,28121.0,5.722,56353.0,9884.0,978.0,17652.0,94079.0,766865.0,1.441,531997.0,0.0,2161886.0,377820.0,162635.0,7.0,3491242.0,583657.0,0.0,1021.0,1021.0,1928.0,2949.0,75443.0,54.93206111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502584.0
26,10389.0,1912.0,79984.0,14117.0,394022.0,13.687,28788.0,5.723,69595.0,12205.0,978.0,23789.0,129426.0,857330.0,1.443,593998.0,0.0,2235455.0,390609.0,212086.0,7.0,3698893.0,633995.0,0.0,839.0,839.0,1837.0,2676.0,104653.0,56.92163503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477713.0
27,9756.0,1796.0,79645.0,14038.0,399835.0,13.488,29643.0,5.706,69889.0,12242.0,978.0,28952.0,127650.0,993022.0,1.405,706552.0,0.0,2627271.0,460440.0,209189.0,8.0,4229317.0,663153.0,0.0,837.0,837.0,1057.0,1894.0,97712.0,59.282972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520857.0
28,9718.0,1789.0,80390.0,14196.0,361946.0,13.407,26997.0,5.698,70672.0,12407.0,978.0,28312.0,129152.0,1187235.0,1.395,850826.0,0.0,2949752.0,517682.0,211395.0,11.0,4710328.0,683875.0,0.0,839.0,839.0,1014.0,1853.0,99852.0,57.15288871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759349.0
29,8545.0,1573.0,57786.0,10199.0,392183.0,13.617,28802.0,5.717,49241.0,8626.0,978.0,19516.0,81127.0,678977.0,1.44,471360.0,0.0,2456200.0,429631.0,141748.0,7.0,3669109.0,608353.0,0.0,865.0,865.0,1971.0,2835.0,60627.0,57.9230603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420940.0
30,22916.0,4218.0,71381.0,12718.0,515707.0,13.223,39001.0,5.722,48465.0,8500.0,2478.0,12389.0,556938.0,8659990.0,1.199,7225471.0,440109.0,6683754.0,1168080.0,709194.0,10946.0,17008753.0,12986076.0,0.0,53208.0,53208.0,27667.0,80874.0,531124.0,656.7493464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,83607077.0
31,25313.0,4659.0,74708.0,13322.0,474274.0,13.036,36382.0,5.723,49395.0,8663.0,2478.0,9784.0,655250.0,8735219.0,1.209,7223841.0,403523.0,7297941.0,1275195.0,810455.0,25155.0,17721412.0,13173303.0,0.0,55169.0,55169.0,25328.0,80497.0,617833.0,664.9673475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,98254981.0
32,29389.0,5409.0,76580.0,13675.0,328812.0,13.247,24823.0,5.706,47192.0,8266.0,2478.0,10255.0,738209.0,9776991.0,1.216,8041010.0,430597.0,9181148.0,1609034.0,901492.0,36299.0,20619040.0,14009870.0,0.0,59316.0,59316.0,27387.0,86703.0,689177.0,684.6895943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46570295.0
33,27689.0,5096.0,68502.0,12261.0,308449.0,13.234,23307.0,5.698,40813.0,7165.0,2478.0,13139.0,808642.0,11323138.0,1.207,9378489.0,431234.0,10608326.0,1861763.0,963581.0,48385.0,23634727.0,14234096.0,5532.0,64868.0,59336.0,21569.0,86437.0,744639.0,683.2325698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9605822.0
34,18977.0,3493.0,66021.0,11734.0,471257.0,13.12,35918.0,5.717,47044.0,8241.0,2478.0,8913.0,435590.0,9392314.0,1.19,7890459.0,411571.0,7213013.0,1261678.0,583008.0,6397.0,18071163.0,12757827.0,0.0,54367.0,54367.0,27029.0,81397.0,417802.0,655.1432269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2671308.0
35,0.0,0.0,19461.0,3413.0,270920.0,21.444,12634.0,5.722,19461.0,3413.0,759.0,17565.0,114808.0,1981005.0,1.175,1685756.0,0.0,663969.0,116038.0,149600.0,9509.0,3065494.0,1470307.0,0.0,14233.0,14233.0,1098.0,15331.0,86977.0,88.42427593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800615.0
36,0.0,0.0,19828.0,3477.0,320001.0,21.267,15047.0,5.723,19828.0,3477.0,759.0,17479.0,118027.0,2028824.0,1.189,1706364.0,0.0,744780.0,130138.0,153379.0,13973.0,3246984.0,1477307.0,0.0,14434.0,14434.0,1090.0,15524.0,85816.0,88.77624019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385451.0
37,0.0,0.0,19735.0,3457.0,293149.0,20.901,14026.0,5.706,19735.0,3457.0,759.0,16618.0,121433.0,2217310.0,1.2,1847402.0,0.0,966448.0,169374.0,156998.0,15336.0,3633905.0,1527222.0,0.0,14728.0,14728.0,1102.0,15831.0,88720.0,90.06168948,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29876375.0
