,BDFDB,BDPRP,BFFDB,BFPRP,CLPRB,CLPRK,CLPRP,COPRK,EMFDB,ENPRP,GETCB,HYTCB,NCPRB,NGMPB,NGMPK,NGMPP,NUETB,PAPRB,PAPRP,REPRB,SOTCB,TEPRB,TETCB,WDEXB,WDPRB,WDTCB,WSTCB,WWPRB,WYTCB,CO2,CurrentAssistance,State_Alabama,State_Alaska,State_Arizona,State_Arkansas,State_California,State_Colorado,State_Connecticut,State_Delaware,State_Florida,State_Georgia,State_Hawaii,State_Idaho,State_Illinois,State_Indiana,State_Iowa,State_Kansas,State_Kentucky,State_Louisiana,State_Maine,State_Maryland,State_Massachusetts,State_Michigan,State_Minnesota,State_Mississippi,State_Missouri,State_Montana,State_Nebraska,State_Nevada,State_New Hampshire,State_New Jersey,State_New Mexico,State_New York,State_North Carolina,State_North Dakota,State_Ohio,State_Oklahoma,State_Oregon,State_Pennsylvania,State_Rhode Island,State_South Carolina,State_South Dakota,State_Tennessee,State_Texas,State_Utah,State_Vermont,State_Virginia,State_Washington,State_West Virginia,State_Wisconsin,State_Wyoming,TargetAssistance
0,3245.0,597.0,82079.0,14424.0,0.0,0.0,0.0,0.0,78834.0,13827.0,615.0,25806.0,40993.0,0.0,0.0,0.0,106173.0,0.0,0.0,224249.0,583.0,330423.0,1801012.0,0.0,91748.0,91748.0,9430.0,101178.0,13989.0,95.6153185,7777098.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2622475.0
1,1894.0,349.0,83624.0,14682.0,0.0,0.0,0.0,0.0,81729.0,14333.0,615.0,24481.0,41165.0,0.0,0.0,0.0,100919.0,0.0,0.0,224172.0,953.0,325091.0,1817947.0,0.0,90051.0,90051.0,9333.0,99384.0,15116.0,98.64308793,2622475.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2067441.0
2,2614.0,481.0,79450.0,13941.0,0.0,0.0,0.0,0.0,76836.0,13460.0,615.0,21813.0,37744.0,0.0,0.0,0.0,104666.0,0.0,0.0,223881.0,505.0,328547.0,1814408.0,0.0,97353.0,97353.0,9334.0,106687.0,14811.0,99.85701526,3755629.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7777098.0
3,5658.0,1041.0,9693.0,1749.0,1041121.0,24.279,42881.0,5.722,4035.0,708.0,2712.0,32108.0,35186.0,102591.0,1.119,91640.0,0.0,14849.0,2595.0,76971.0,366.0,1235531.0,1704124.0,0.0,30577.0,30577.0,1514.0,32092.0,0.0,126.8081795,2257870.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1948714.0
4,5989.0,1102.0,10054.0,1815.0,1015108.0,24.281,41807.0,5.723,4065.0,713.0,2712.0,41514.0,44707.0,101295.0,1.142,88715.0,0.0,14176.0,2477.0,89649.0,481.0,1220228.0,1662333.0,0.0,33288.0,33288.0,1600.0,34889.0,0.0,116.7819997,1948714.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2944583.0
5,4524.0,833.0,8246.0,1485.0,1486019.0,24.189,61434.0,5.717,3723.0,652.0,2712.0,31717.0,34627.0,108080.0,1.127,95907.0,0.0,16362.0,2862.0,75319.0,198.0,1685780.0,1730308.0,0.0,30971.0,30971.0,1475.0,32445.0,0.0,131.3429697,315635700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2257870.0
6,130.0,24.0,130.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,20.0,771.0,0.0,0.0,0.0,0.0,0.0,0.0,4700.0,450.0,4700.0,185173.0,0.0,1688.0,1688.0,2110.0,3799.0,245.0,9.588941638,489512.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,547069.0
7,156.0,29.0,156.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,22.0,2129.0,0.0,0.0,0.0,0.0,0.0,0.0,5967.0,679.0,5967.0,182325.0,0.0,1645.0,1645.0,2037.0,3682.0,1372.0,9.965275351,547069.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,661136.0
8,94.0,17.0,94.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,29.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,4886.0,298.0,4886.0,202693.0,0.0,2146.0,2146.0,2170.0,4315.0,94.0,10.80452453,671306.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,489512.0
9,9254.0,1703.0,65607.0,11587.0,399856.0,14.219,28121.0,5.722,56353.0,9884.0,978.0,17652.0,94079.0,766865.0,1.441,531997.0,0.0,2161886.0,377820.0,162635.0,7.0,3491242.0,583657.0,0.0,1021.0,1021.0,1928.0,2949.0,75443.0,54.93206111,502584.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477713.0
